2021-02-23 09:00:48,Isle of Wight,Morgan Berka,"Large,Hot chocolate,2.9,Large,Chai latte,2.6,Large,Hot chocolate,2.9",CASH,8.40,None
2021-02-23 09:01:45,Isle of Wight,William Perdomo,"Large,Latte,2.45",CARD,2.45,"discover,6011776257398866"
2021-02-23 09:02:27,Isle of Wight,Amber Roberts,",Frappes - Coffee,2.75,,Cortado,2.05,,Glass of milk,0.7,,Speciality Tea - Camomile,1.3,,Speciality Tea - Camomile,1.3",CARD,8.10,"discover,6011893765428836"
2021-02-23 09:03:02,Isle of Wight,Tisha Timmons,",Speciality Tea - Camomile,1.3,,Hot Chocolate,1.4",CASH,2.70,None
2021-02-23 09:04:40,Isle of Wight,Johnnie Davis,",Flavoured iced latte - Hazelnut,2.75,Large,Espresso,1.8,,Glass of milk,0.7,,Smoothies - Berry Beautiful,2.0",CASH,7.25,None
2021-02-23 09:05:18,Isle of Wight,Jason Martin,"Regular,Filter coffee,1.5,Large,Flavoured hot chocolate - Caramel,2.9,Large,Flavoured latte - Gingerbread,2.85",CARD,7.25,"americanexpress,347932748275944"
2021-02-23 09:06:33,Isle of Wight,Jennifer Wade,",Hot Chocolate,1.4,,Speciality Tea - Camomile,1.3,,Speciality Tea - Green,1.3,Large,Americano,2.25,,Flavoured iced latte - Vanilla,2.75",CARD,9.00,"mastercard,52349866666956610"
2021-02-23 09:07:55,Isle of Wight,James Jimenez,",Speciality Tea - Green,1.3,,Red Label tea,1.2",CARD,2.50,"americanexpress,355841231591387"
2021-02-23 09:08:06,Isle of Wight,Esther Craig,"Large,Espresso,1.8,Regular,Flavoured hot chocolate - Vanilla,2.6,,Flavoured iced latte - Vanilla,2.75",CASH,7.15,None
2021-02-23 09:09:55,Isle of Wight,James Tucker,",Speciality Tea - Green,1.3,,Flavoured iced latte - Vanilla,2.75,Regular,Americano,1.95",CARD,6.00,"discover,6011658851596584"
2021-02-23 09:10:52,Isle of Wight,Joshua Trahan,",Hot Chocolate,1.4,Large,Cappuccino,2.45",CASH,3.85,None
2021-02-23 09:11:26,Isle of Wight,Timothy Hope,",Cortado,2.05,Regular,Latte,2.15,Large,Flavoured latte - Vanilla,2.85,Large,Chai latte,2.6",CARD,9.65,"visa13,4891633226863"
2021-02-23 09:12:18,Isle of Wight,Milton Mathews,",Frappes - Strawberries & Cream,2.75,,Frappes - Strawberries & Cream,2.75,,Flavoured iced latte - Vanilla,2.75",CARD,8.25,"visa16,4924515776335673"
2021-02-23 09:13:44,Isle of Wight,Joseph Cheng,",Speciality Tea - English breakfast,1.3",CARD,1.30,"americanexpress,358366644963152"
2021-02-23 09:14:07,Isle of Wight,Mary Howard,",Cortado,2.05",CASH,2.05,None
2021-02-23 09:15:36,Isle of Wight,Suzanne Cookerly,",Hot Chocolate,1.4,Large,Filter coffee,1.8,,Speciality Tea - Camomile,1.3,,Speciality Tea - Peppermint,1.3,,Speciality Tea - Darjeeling,1.3",CASH,7.10,None
2021-02-23 09:16:55,Isle of Wight,Jonathan Lewis,",Iced americano,2.15,,Babyccino,0.0,Large,Flavoured latte - Vanilla,2.85,,Flavoured iced latte - Hazelnut,2.75,,Frappes - Strawberries & Cream,2.75",CARD,10.50,"visa13,4289345283126"
2021-02-23 09:17:52,Isle of Wight,Roger Walker,"Large,Flavoured latte - Caramel,2.85",CARD,2.85,"visa16,41283441555354710"
2021-02-23 09:18:56,Isle of Wight,Angela Gunn,",Flavoured iced latte - Caramel,2.75",CARD,2.75,"visa16,4558177766236594"
2021-02-23 09:19:27,Isle of Wight,Amanda Parkinson,"Large,Flavoured latte - Caramel,2.85,Large,Latte,2.45",CARD,5.30,"visa16,4668669235933261"
2021-02-23 09:20:35,Isle of Wight,Walter Quivers,",Frappes - Strawberries & Cream,2.75,,Frappes - Strawberries & Cream,2.75,Large,Flavoured latte - Gingerbread,2.85,,Mocha,2.3,Large,Flavoured latte - Gingerbread,2.85",CARD,13.50,"americanexpress,343928666843634"
2021-02-23 09:21:31,Isle of Wight,Sadie Salas,"Regular,Flavoured latte - Vanilla,2.55,Large,Luxury hot chocolate,2.7,,Speciality Tea - Green,1.3,,Red Label tea,1.2",CASH,7.75,None
2021-02-23 09:22:36,Isle of Wight,Dolores Woodson,",Hot Chocolate,1.4,Regular,Americano,1.95",CASH,3.35,None
2021-02-23 09:23:57,Isle of Wight,Veronica Walls,"Large,Latte,2.45",CASH,2.45,None
2021-02-23 09:24:48,Isle of Wight,Angela Ferrari,"Large,Filter coffee,1.8,Large,Flavoured hot chocolate - Caramel,2.9,Regular,Flavoured hot chocolate - Vanilla,2.6,,Speciality Tea - Camomile,1.3",CASH,8.60,None
2021-02-23 09:25:27,Isle of Wight,Rhonda Obermiller,"Large,Chai latte,2.6,,Speciality Tea - Fruit,1.3",CARD,3.90,"mastercard,5346599764578442"
2021-02-23 09:26:45,Isle of Wight,Henry Hutzler,"Large,Americano,2.25,Large,Flavoured hot chocolate - Caramel,2.9",CASH,5.15,None
2021-02-23 09:27:47,Isle of Wight,Darnell Hayes,",Red Label tea,1.2",CARD,1.20,"discover,6011695463887795"
2021-02-23 09:28:07,Isle of Wight,Adam Connors,"Large,Latte,2.45,Large,Flavoured latte - Hazelnut,2.85,,Frappes - Strawberries & Cream,2.75",CARD,8.05,"americanexpress,3543154237252610"
2021-02-23 09:29:06,Isle of Wight,Bridget Oneil,",Frappes - Coffee,2.75,,Flavoured iced latte - Vanilla,2.75,Large,Flavoured latte - Vanilla,2.85,,Speciality Tea - Earl Grey,1.3",CARD,9.65,"visa16,4283633598174934"
2021-02-23 09:30:15,Isle of Wight,Robert Hairston,"Large,Hot chocolate,2.9",CASH,2.90,None
2021-02-23 09:31:33,Isle of Wight,Janice Long,",Flat white,2.15,,Frappes - Chocolate Cookie,2.75,,Speciality Tea - Green,1.3",CARD,6.20,"visa13,4813252884145"
2021-02-23 09:32:53,Isle of Wight,Amy Lanzilotta,"Regular,Flavoured latte - Gingerbread,2.55,,Glass of milk,0.7,Large,Chai latte,2.6",CASH,5.85,None
2021-02-23 09:33:03,Isle of Wight,Jordan Clouse,",Speciality Tea - Earl Grey,1.3,,Speciality Tea - Earl Grey,1.3,,Red Label tea,1.2",CASH,3.80,None
2021-02-23 09:34:29,Isle of Wight,Athena Winston,",Speciality Tea - Fruit,1.3",CARD,1.30,"americanexpress,351491457579585"
2021-02-23 09:35:29,Isle of Wight,Amy Paider,",Babyccino,0.0,,Flavoured iced latte - Vanilla,2.75,Regular,Flavoured latte - Gingerbread,2.55",CARD,5.30,"americanexpress,379585264787717"
2021-02-23 09:36:55,Isle of Wight,Maria Eichhorn,"Regular,Flavoured latte - Vanilla,2.55",CARD,2.55,"americanexpress,347291749782188"
2021-02-23 09:37:00,Isle of Wight,Rosemarie Harper,"Regular,Flavoured hot chocolate - Caramel,2.6",CARD,2.60,"visa16,4638636143558339"
2021-02-23 09:38:44,Isle of Wight,Scott Shaw,",Flat white,2.15",CARD,2.15,"visa13,4892839154321"
2021-02-23 09:39:55,Isle of Wight,Wayne Solomon,"Regular,Filter coffee,1.5",CARD,1.50,"visa13,4191994254855"
2021-02-23 09:40:21,Isle of Wight,Bettye Whelan,",Iced latte,2.35,,Smoothies - Berry Beautiful,2.0,Large,Latte,2.45",CASH,6.80,None
2021-02-23 09:41:04,Isle of Wight,Ramiro Razo,",Flavoured iced latte - Vanilla,2.75,,Speciality Tea - Earl Grey,1.3,,Frappes - Chocolate Cookie,2.75,,Flavoured iced latte - Hazelnut,2.75",CASH,9.55,None
2021-02-23 09:42:04,Isle of Wight,Maryam Brown,",Flavoured iced latte - Vanilla,2.75",CARD,2.75,"mastercard,5444712485417631"
2021-02-23 09:43:15,Isle of Wight,Leslie Hamilton,",Frappes - Strawberries & Cream,2.75,,Red Label tea,1.2,,Mocha,2.3,Regular,Latte,2.15",CASH,8.40,None
2021-02-23 09:44:11,Isle of Wight,Bobby Phillips,",Flavoured iced latte - Caramel,2.75,,Mocha,2.3,,Hot Chocolate,1.4,Large,Filter coffee,1.8",CASH,8.25,None
2021-02-23 09:45:30,Isle of Wight,Armando Myers,",Speciality Tea - English breakfast,1.3,,Flavoured iced latte - Vanilla,2.75",CASH,4.05,None
2021-02-23 09:46:59,Isle of Wight,Royce Cook,",Speciality Tea - Earl Grey,1.3,Large,Chai latte,2.6,,Flavoured iced latte - Caramel,2.75,Large,Flavoured latte - Caramel,2.85,,Speciality Tea - Peppermint,1.3",CASH,10.80,None
2021-02-23 09:47:14,Isle of Wight,Kathleen Ledoux,",Red Label tea,1.2",CARD,1.20,"americanexpress,3561549999613410"
2021-02-23 09:48:51,Isle of Wight,Gregory Arcangel,",Iced latte,2.35,,Babyccino,0.0,Regular,Flavoured hot chocolate - Vanilla,2.6",CASH,4.95,None
2021-02-23 09:49:44,Isle of Wight,Maria Eley,"Regular,Hot chocolate,2.2,,Frappes - Coffee,2.75",CASH,4.95,None
2021-02-23 09:50:36,Isle of Wight,Willie Hundley,"Regular,Flavoured hot chocolate - Vanilla,2.6,,Cortado,2.05,,Smoothies - Glowing Greens,2.0,,Glass of milk,0.7,Large,Flavoured latte - Hazelnut,2.85",CASH,10.20,None
2021-02-23 09:51:27,Isle of Wight,Dolores Oliver,",Babyccino,0.0,,Glass of milk,0.7,,Smoothies - Berry Beautiful,2.0,Large,Americano,2.25,Large,Flavoured latte - Caramel,2.85",CARD,7.80,"visa16,4137727758195362"
2021-02-23 09:52:35,Isle of Wight,Sheila Strahl,",Speciality Tea - Earl Grey,1.3,,Speciality Tea - English breakfast,1.3",CASH,2.60,None
2021-02-23 09:53:59,Isle of Wight,Debra Mclaughlin,"Regular,Cappuccino,2.15",CASH,2.15,None
2021-02-23 09:54:58,Isle of Wight,Stan Hughes,"Large,Latte,2.45,Large,Espresso,1.8",CASH,4.25,None
2021-02-23 09:55:10,Isle of Wight,Carlton Hale,",Red Label tea,1.2,Regular,Flavoured latte - Hazelnut,2.55",CASH,3.75,None
2021-02-23 09:56:57,Isle of Wight,Sarah Roman,",Glass of milk,0.7,,Iced latte,2.35,Regular,Hot chocolate,2.2,Large,Latte,2.45",CASH,7.70,None
2021-02-23 09:57:14,Isle of Wight,Teresa Rubio,",Speciality Tea - Earl Grey,1.3,Large,Filter coffee,1.8,,Frappes - Coffee,2.75",CARD,5.85,"visa16,4653688726421229"
2021-02-23 09:58:00,Isle of Wight,Daniel Branch,"Large,Flavoured hot chocolate - Hazelnut,2.9,Large,Cappuccino,2.45,,Speciality Tea - Green,1.3,Regular,Flavoured hot chocolate - Caramel,2.6",CARD,9.25,"visa16,4235514362176413"
